,Sensation Seeking,Mindfulness,Impulsivity,Emotional Control,Reward Sensitivity,Goal-Directedness,Risk Perception,Eating Control,Ethical Risk-Taking,Social Risk-Taking,Financial Risk-Taking,Agreeableness
bis11_survey.Attentional,0.0296254683454829,-0.569364094749211,0.08029169734792078,-0.2156697208905804,0.11840490107955845,-0.06352075626453817,-0.010677921038176934,0.010896515261727172,0.007181937274397254,0.04431509281230925,-0.011820587753039824,0.02766520422264975
bis11_survey.Motor,0.03275521403323486,-0.18030286877769092,0.48425353178203423,-0.08127699889092949,0.16036810965573836,-0.09223968878003429,0.022314937561333625,0.06320816130268432,0.10008537724559233,0.07086061367962634,0.05793957619811809,0.05683721961696707
bis11_survey.Nonplanning,0.028499247859930885,-0.14037893125316583,0.5301791854193798,-0.10028800789734081,-0.07303924433202,-0.2675927197891558,-0.05618836047337678,0.11894665362425949,0.03821394817679291,-0.051430898018960544,-0.06098984852036185,0.0611274627420353
bis_bas_survey.BAS_drive,0.00657572894615055,-0.016955910699050655,-0.024339798703725282,0.13941532871202922,0.5810644741903469,0.38467300010578587,-0.0053399641635832554,0.03903134202046587,0.06320596825331548,-0.06326525786325353,0.06519478353545051,-0.11210988793719223
bis_bas_survey.BAS_fun_seeking,0.27925258930163904,-0.043959545782741694,0.09266388087314535,0.01619487568798162,0.6101189668198738,-0.19107319129383538,-0.03403320896725614,-0.011683345558691922,0.005269905090919763,0.06627617801252036,0.07507098936929518,-0.0361950598546984
bis_bas_survey.BAS_reward_responsiveness,-0.0039847653894227375,-0.026043168070808736,-0.1276136911648238,-0.12352260917005743,0.5690691292184635,0.1563420842060427,0.0647184449323309,0.09234014159912818,-0.08891109882420294,0.04836165102358829,-0.04229075625052803,0.1979878482595024
bis_bas_survey.BIS,-0.05636827200727262,-0.07093559843430253,-0.08802481313532343,-0.7039683813594221,0.0032414492959568983,0.00440620848132206,0.07083092985423257,0.1274022766093086,-0.06968960864114493,-0.019576333606646814,-0.075814875060535,0.2258617199120314
brief_self_control_survey.self_control,0.061514468122692456,0.28265763988142795,-0.24936859812612122,0.1760695237501465,-0.07264238589320855,0.22734105265982896,0.04368783073993842,-0.2693381198018359,-0.08459824707623297,-0.07839646064958979,0.00954341537407731,0.10843508409043164
dickman_survey.functional,0.16029322968643955,0.12979951893248934,0.22987033408077895,0.23131760315574706,0.23484181074100463,0.09253215564960572,0.04128131445059636,-0.05416589724880327,-0.10172543290510444,0.08609934725802468,0.11546200770639889,-0.2079709059957109
dospert_eb_survey.ethical,-0.008273557516887704,-0.06131952371013387,-0.11077283431308821,0.07073692212957146,-0.02755236402936987,-0.01377920350100384,-0.11398638221336904,0.08901562652086634,0.6525724256797998,-0.026123514933825857,0.07392368810801878,-0.02161362441273458
dospert_eb_survey.financial,-0.04707133087043648,-0.020323454846585907,-0.11331359461154754,0.015627441863687967,-0.06232879449435796,-0.03092703028912759,0.10595926857684564,0.10138846247094713,0.2103040283986078,0.06167872509803676,0.666310134020378,0.02065667045223297
dospert_eb_survey.health_safety.logTr,0.0793482642221455,0.0030440425939724583,0.12300725228506504,0.012922460139389701,-0.015379863366751997,0.005294337211124656,-0.09700011501251396,-0.04150117837670565,0.6336110042755347,0.026369199450842047,0.09594356909038705,0.09524579522593568
dospert_eb_survey.recreational,0.7224049481781358,-0.07313775668635802,-0.017995232236136166,-0.07148629747100421,-0.07406470743568731,0.010732126529364214,0.07242704667421208,-0.0230991948114144,0.16618767371882065,0.13929003675330354,0.02103158811361941,0.18335922961615425
dospert_eb_survey.social,0.07694660801011442,0.011169609524623259,0.039665477573981034,-0.014056543814779186,-0.13226812758280113,0.10001411280730699,0.15709368193747808,0.05802255537247333,0.21494676332989726,0.6094623161435468,-0.007828486530748142,0.07250850466479457
dospert_rp_survey.ethical,0.02497154120379895,0.03316358810132385,0.07917735923093225,-0.05000632545376365,2.9081920321010618e-05,0.03714448705610123,0.6993192068230603,-0.05636245761948051,-0.2105927006491789,0.018066066688776434,-0.06035396794721727,0.13001283886960735
dospert_rp_survey.financial,0.0892589618662093,0.05857699257663241,-0.0988713623635276,0.03256239020451396,0.007435450024494451,-0.0790269928781448,0.40469689328707115,0.018035247595121272,0.16414491124175506,0.020713117943629684,-0.6052029410861318,-0.024686535285280017
dospert_rp_survey.health_safety,-0.047777164442757786,0.005032348005189909,-0.01556054960632685,-0.02608927109944061,-0.006049424881538128,0.04371724372408446,0.782280827728541,0.04616814321975857,-0.22245161162200563,0.017541320252945254,-0.042430525021110777,-0.0013854239156417536
dospert_rp_survey.recreational,-0.38367707768774456,0.0025315646159379053,0.023856654003851202,0.0220916625980532,0.026188514838493115,0.009310819673595955,0.6417759088469048,-0.03442653670494164,0.07649448368621531,0.054252339231687284,-0.04058803308928195,-0.0621920680409374
dospert_rp_survey.social,-0.018044613052021808,-0.001596800141081687,-0.036776327492745106,-0.11858825158848688,0.015139470674349988,-0.025780392851349847,0.5382781825289981,-0.09194741627487887,0.29749016691122876,-0.34343214810982015,0.14973578614368965,-0.006363781369861417
dospert_rt_survey.ethical,-0.017839772517780385,-0.05061102210146541,0.05021892352714517,-0.0042798859337708365,-0.00525467442721429,0.06372695894340678,-0.17913669989619624,0.1497674464882195,0.5043387513839342,0.01867320612190649,0.05612217753974514,-0.2627167620899422
dospert_rt_survey.financial,0.12721283046277157,0.05063456752607191,-0.0033692639988701506,0.03135540482393836,0.026762844506195545,0.004839122170111468,0.07342376559905307,0.020454509306780336,-0.012791187610785494,-0.028174593614614576,0.7953025346590749,-0.016424187232572746
dospert_rt_survey.health_safety,0.10846363407318076,0.03923012328099728,0.11383120683356943,-0.10089959910911905,0.06028923060259904,-0.007004766854151856,-0.23384053911324387,0.014643234794124613,0.4847865524596432,0.1869195306926673,0.024132045234298627,-0.08543602038441629
dospert_rt_survey.recreational,0.8500832595305402,-0.0395259828451874,-0.021123490286284158,0.0047861241537803505,-0.08241260592967808,0.057664828010198316,-0.05564345158010156,-0.010442293178087128,0.06816298091048054,0.05019080297065727,0.010879412563272448,0.04879964263546456
dospert_rt_survey.social,0.03837949040185751,0.00047669005407652894,-0.011679304393673396,0.043724641528929145,0.028592609534978462,-0.008081531552330191,-0.061488759268428714,-0.009935517817721664,-0.04710596477049586,0.7735470802002575,0.016499513558247025,-0.09103816894890902
eating_survey.cognitive_restraint,0.00478196700167268,-0.03747793197183287,-0.1321432955646579,-0.1291470690372579,0.0830600783133845,0.09941541734107175,0.09423435667757463,-0.12014153538721274,-0.0311636368025879,0.027409303285455947,0.07908399005888563,-0.003510237090138143
eating_survey.emotional_eating,-0.033593209099527434,0.07991030431372671,-0.03527674499085187,-0.08966876474674178,-0.04489582066905483,-0.03545060620789567,-0.013230198401613845,0.8231158876240006,-0.07562833823906914,0.05942790141801609,0.046421826619576,0.023088029619069445
eating_survey.uncontrolled_eating,0.046846987160521526,-0.043492527174535243,-0.0255686744665255,0.08878845846293575,0.016064360901808395,0.021600911808158495,-0.0022240423507402236,0.8654009386237124,0.057687261909162506,-0.03359641441747973,0.018208959173325955,0.027216587181326544
erq_survey.reappraisal,0.05726784654328408,-0.010783270519610309,-0.0940831002539483,0.35627348993015323,0.18861184967729389,0.07636643728828103,0.047444253719453024,-0.00926515552467414,0.08510127241524425,0.1044521764921515,-0.05309615943566775,0.26781025696689925
erq_survey.suppression,0.2393977414554661,-0.26273891083331696,-0.2536277059186316,0.19839107791229074,-0.2951522629388845,-0.10407664877177049,0.10362049643223499,0.07580631327351506,0.08207413276205949,-0.13459792112426563,-0.011741846541820943,-0.2776623045270529
five_facet_mindfulness_survey.act_with_awareness,0.013585594434578052,0.8857478907178258,-0.032605603675785536,-0.005270879470281675,-0.005115572356298705,0.047343158294691955,0.025055265724348658,0.029301315073529687,-0.029877196300830362,0.0016951411145477054,-0.0014704446297259081,-0.03914977112523606
five_facet_mindfulness_survey.describe,-0.07902983408172518,0.4118328355647419,0.04208233457820228,0.12627747028772718,0.16633087003685976,0.09505509721983466,-0.003527344654469839,-0.022325485495697298,0.00580029122554989,0.25367182779116354,0.0500820877768136,0.15787219636162075
five_facet_mindfulness_survey.nonjudge,-0.15951415158660484,0.23665353286871776,0.19995231094977622,0.41515447201835837,-0.004568108714243832,-0.06494294375841844,-0.07597422750312144,-0.04225724172730611,-0.1174569235821489,0.04363729760590142,-0.05475263139047997,0.12940488824784202
five_facet_mindfulness_survey.nonreact,0.07222384514359015,0.07229848924124162,-0.16792648825165077,0.4980087882076195,0.03716851511858148,-0.030559168666838086,0.0034520739816290896,-0.02289768171044248,0.0094562137131693,0.1496092315364669,0.003340672241667546,0.10604016268026402
five_facet_mindfulness_survey.observe,-0.02873978902721655,0.09513333305202488,-0.21935548864072718,-0.19203925124572424,0.2625493643351388,0.0755536017992419,0.12638082701923378,-0.12181504586430932,0.03124760012117072,0.23944141582009887,0.08638192422993653,0.14944081368392664
future_time_perspective_survey.future_time_perspective,0.036173439751940914,-0.18524199299361524,-0.1635784931103209,0.3336273277283802,0.3105396045098183,0.13654747317263652,0.1710903176878937,0.10062872385634432,0.008748497338962874,0.07222770740875833,0.011772390931403292,0.15729691572079393
grit_scale_survey.grit,0.07986430854508497,0.3998330899131758,-0.00011141529116754506,0.2165107479315937,0.009054630809022135,0.43833173123582647,0.07042752419723564,-0.08986915713995433,-0.030167051207809506,-0.018022117032504135,-0.07699788416113065,-0.048843791993344786
impulsive_venture_survey.impulsiveness.logTr,0.08881972223129778,-0.05473777704015713,0.4091778314411798,-0.062425090629444395,0.27311261482271604,-0.07494349711267892,0.18628953276426238,0.16825213153692428,0.035002974016290093,0.14964716625224123,0.010183445961798007,-0.1424977423780801
impulsive_venture_survey.venturesomeness,0.8666213666666348,0.06435046774599873,0.05774316158009468,0.01847790810750176,0.06817725158192528,-0.026611748638118635,-0.030818244691713684,-0.004465992720856184,-0.06104595752225288,0.023435413327157942,0.0367534405253702,-0.08338168335659787
leisure_time_activity_survey.activity_level,0.11341347511878874,-0.11683138839119617,-0.21437232620616226,0.08881934037623436,0.15943824856746044,0.09733448320041496,-0.015020099557070668,-0.15058543790964304,0.058676290063013045,-0.01104178185931749,0.11632880290875858,-0.006833083798088252
mindful_attention_awareness_survey.mindfulness,-0.017198516434921544,0.7971262424214272,-0.01968963819708444,-0.005260388386515096,-0.01322273718075535,-0.10251586012808826,-0.023009557990730775,-0.14029278333313575,0.0032641043971348635,0.012776553261783312,-0.01780226490463717,0.11617688399900136
mpq_control_survey.control.ReflogTr,0.08550803995941647,-0.19382735781728702,0.3405960655428868,-0.004263906245140905,0.13459936476190656,-0.2237083875041172,0.06202841320343868,0.0314728216132465,-0.07947726311943423,0.2093593429484032,0.048919720559133094,-0.0649714680433167
selection_optimization_compensation_survey.compensation,0.021089553927035622,-0.045538679776007215,0.0173857818777218,-0.005817567255851246,0.05974340334734338,0.5733447088422222,0.020751367592957787,-0.17305445647272905,0.004022006104319992,0.06097502681913665,0.028466059314631892,0.1919694166067837
selection_optimization_compensation_survey.elective_selection,-0.047579670077706464,0.22470855892945063,0.019641417623365867,-0.03621439467288747,-0.14052839242129941,0.4511599840593118,0.062433700037450586,-0.009906572173215458,0.02152521700992209,-0.12797738740961295,0.029577928528716216,-0.06194637120022782
selection_optimization_compensation_survey.loss_based_selection,-0.022398942374060718,-0.1369176645785659,-0.1053200206400037,-0.10646159668135735,-0.16391199063781936,0.38188648080787113,0.024937776597808697,-0.04933483838732978,-0.0946612872476231,0.09959732982722809,0.06181553693693455,0.06330300573164419
selection_optimization_compensation_survey.optimization.ReflogTr,-0.10887157797235786,-0.1149838824205218,0.00517973224574228,-0.1003941664169263,0.04930496295545085,-0.6076443190972515,-0.045536697163934145,0.10852798075432502,0.009450072681658789,-0.01834761355212802,-0.05671673532369682,-0.06631555356012805
self_regulation_survey.control,-0.009585106906871222,0.22748038164049778,-0.27083241841748285,0.26367141955910517,0.1380707521334143,0.34848970994769013,0.03704269536023727,-0.132500367058911,-0.06463147388547277,0.08011549483326386,-0.040065671330448055,0.06141987413471711
sensation_seeking_survey.boredom_susceptibility,0.07608977718083511,-0.07902213536973082,0.042861740547732674,0.014716633255116776,0.2012435440366452,-0.01572644253484838,-0.08214282005669886,-0.05429622207153567,0.12952946783685543,0.1477427785168925,0.05007226790415555,-0.4557021751361957
sensation_seeking_survey.disinhibition,0.22962087218695845,0.0142934660670762,-0.0024908763538646836,-0.0718955223096961,0.2678795510129834,-0.07793019060501989,-0.136638591109921,0.02485516712452892,0.22178554238524573,0.1593614547049486,0.10483886686163871,-0.15037227878695053
sensation_seeking_survey.experience_seeking,0.2914876691498005,0.016248909827264825,-0.031057752431273393,-0.004793408214180662,0.1451857090875081,-0.1851628963896076,-0.04614272014739503,-0.02189746019118415,0.08432604299360888,0.35757886973633857,0.0567116104829144,-0.05517663131620944
sensation_seeking_survey.thrill_adventure_seeking,0.9285497802080042,-0.018330567582753754,0.029620413571490783,-0.0005069830341618469,-0.034571934932376674,0.05526739803771928,-0.03612521516498249,0.018019926467790496,-0.04352217098174783,-0.015042704712364565,0.01765441949461726,0.003393227493795309
ten_item_personality_survey.agreeableness,0.06804115964492062,0.18025506655121631,-0.032346765535395505,0.15199744143385624,0.12844974591614317,-0.04902658427047411,0.09342343254810699,0.016261085924339006,-0.07136653546812395,-0.12501432209619126,-0.06383884584703886,0.4744683479078461
