,Speeded IP,Strategic IP,Discounting,Perc / Resp,Caution
adaptive_n_back.hddm_drift,0.3206170348238973,0.00821329597283273,0.05280046037737769,-0.036870354179107404,-0.1732487209720859
adaptive_n_back.hddm_drift_load,-0.1416147984013177,0.4157794477425926,0.002782200446935942,0.0009889392958095655,0.14630304322218812
adaptive_n_back.hddm_non_decision,0.31760210074564066,-0.015071357606548784,-0.0035860597247071527,0.11493887056850924,0.015433652696006092
adaptive_n_back.hddm_thresh,-0.0859633782071077,0.3136369788276777,0.002814539424069306,0.13074440935009662,0.17629470258692548
adaptive_n_back.mean_load,0.1918838723677015,0.6137367052725163,0.015648061587405747,-0.03559140551268436,0.07269583401367793
angling_risk_task_always_sunny.keep_adjusted_clicks,-0.08158366870508417,0.34905469992158533,-0.01953015011045156,-0.015459013824411921,-0.08041002723482298
angling_risk_task_always_sunny.keep_coef_of_variation,-0.22925918992239697,0.027381111050677854,0.04368982656328009,0.035822356650397125,0.018952458404922972
angling_risk_task_always_sunny.release_adjusted_clicks,-0.0036865588730135845,0.2619543891609953,0.018718040280392662,0.03278638211784399,-0.1624344204949751
angling_risk_task_always_sunny.release_coef_of_variation,-0.10660329763905543,-0.012141861192281262,0.06895061558665087,0.04326895780768346,-0.047494801630282524
attention_network_task.alerting_hddm_drift,-0.21355192782160412,-0.18412322760581895,-0.007117619232277241,0.02790490220005587,0.09605025983786354
attention_network_task.conflict_hddm_drift,-0.1506528364184076,0.015954125942852983,0.009235276993793971,-0.03225258207865568,0.17372522070124735
attention_network_task.hddm_drift,0.4190938382385065,0.0993698319221341,0.04898999783844403,-0.0014863699874578112,0.32381793322009667
attention_network_task.hddm_non_decision,0.09708011695348692,-0.13912169356516504,-0.03944903774670471,0.5597060113532482,-0.08071439056375351
attention_network_task.hddm_thresh,0.0766480766375478,0.014927560863538629,0.07251885666281124,0.04531941008595733,0.5455046202924839
attention_network_task.orienting_hddm_drift,-0.3205363434482725,-0.12245718014929349,-0.005724394393362908,0.0761451943393521,0.07899854544227139
bickel_titrator.hyp_discount_rate_large.logTr,0.09278836600021947,-0.06668565520362739,0.48630682288517124,0.008998225579250266,0.04130574611913036
bickel_titrator.hyp_discount_rate_medium.logTr,0.09397931818274892,-0.03334102345656067,0.6622585951759522,-0.00010378738823649887,0.017650026926624502
choice_reaction_time.hddm_drift,0.7668874643202379,-0.08596492457061074,0.016315127362847383,0.008930442068477498,-0.059461744122429466
choice_reaction_time.hddm_non_decision,0.03281609712450329,-0.001516747685974984,0.03760264537213948,0.4615902334763865,0.07907117664654814
choice_reaction_time.hddm_thresh,-0.0008548232158885893,0.03386147043880542,0.06710019421886455,0.08636810683471607,0.4634471866461959
cognitive_reflection_survey.correct_proportion,0.054596597676425634,0.5833047408208202,-0.15995561449623893,0.0940083360615581,0.05114738739336682
cognitive_reflection_survey.intuitive_proportion,-0.02030476800096432,-0.46830907990374265,0.07168460946187527,-0.057730556651888976,-0.03592284124340657
columbia_card_task_cold.avg_cards_chosen,-0.12452615346362673,-0.1363278069908286,-0.01915267039878556,-0.06800191980303959,-0.07882640160947371
columbia_card_task_cold.gain_sensitivity,-0.015283631342673331,0.3354363883531394,-0.009489335793873635,0.04824166924852777,-0.015899477667283137
columbia_card_task_cold.information_use,0.18375365663804374,0.43814904444880226,-0.080560010482194,-0.031588875606112586,-0.030429862506363654
columbia_card_task_cold.loss_sensitivity,-0.021277180430549117,-0.3008007419036498,0.08789910457336556,0.021715420994626696,-0.022196416043162484
